0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;;
2;2;2;1;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;14;0.466666667
2;2;2;1;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;14;0.466666667
2;2;2;1;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;14;0.466666667
2;2;2;1;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;14;0.466666667
2;2;2;1;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;14;0.466666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;13;0.433333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;2;1;2;1;2;12;0.4
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;1;2;1;2;11;0.366666667
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;10;0.333333333
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;9;0.3
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;8;0.266666667
